"target_grade","assignment_preference","age","gender","university_year","enrolled_unit","weekly_study_hours","work_status","weekly_paid_work_hours","average_daily_sleep","usual_bedtime","weekly_exercise_hours","weekly_food_spend","wam"
"Distinction","draw up a schedule and work through it in planned stages",23,"F","Fourth year","DATA2002",21,"Part time",24,"7.0",1899-12-31 23:30:00,3,35,70
"Distinction","draw up a schedule and work through it in planned stages",19,"M","Second year","DATA2002",35,"I don't currently work",0,"8 hours",1899-12-31 22:30:00,5,200,58
"High Distinction","draw up a schedule and work through it in planned stages",20,"M","Third year","DATA2002",30,"Casual",8,"6-7",1899-12-31,1,100,86.24
"High Distinction","cram at the last second",27,"M","Second year","DATA2902",5,"I don't currently work",0,"6.0",1899-12-31 01:00:00,3,120,NA
"High Distinction","draw up a schedule and work through it in planned stages",20,"M","Third year","DATA2002",12,"Casual",24,"7 hrs",1899-12-31 12:00:00,10,150,80.8
"High Distinction","do them immediately",21,"M","Second year","DATA2002",6,"Casual",5,"6.0",1899-12-31,7,150,75
"High Distinction","do them immediately",19,"M","Second year","DATA2002",3,"Casual",3,"8 hours",1899-12-31 03:00:00,4,50,89
"High Distinction","draw up a schedule and work through it in planned stages",21,"M","Second year","DATA2002",40,"I don't currently work",0,"9.0",1899-12-31 22:30:00,5,300,77
"High Distinction","draw up a schedule and work through it in planned stages",23,"F","Third year","DATA2002",30,"Part time",10,"8.0",1899-12-31 21:30:00,20,100,80
"Credit","cram at the last second",20,"F","Third year","DATA2002",12,"Casual",6,"7-8",1899-12-31 11:00:00,0,20,50
"High Distinction","do them immediately",20,NA,"Second year","DATA2002",22,"I don't currently work",0,"9 hours",1899-12-31 01:30:00,8,200,92
"Distinction","draw up a schedule and work through it in planned stages",20,"M","Third year","DATA2002",30,"I don't currently work",0,"8.0",1899-12-31 10:30:00,12,100,78.36
"High Distinction","cram at the last second",19,"F","Second year","DATA2002",45,"I don't currently work",0,"8.0",1899-12-31 00:30:00,3,200,85.3
"High Distinction","do them immediately",23,"F","Second year","DATA2902",30,"Casual",6,"8-9 hours",1899-12-31 21:00:00,2,150,78
"High Distinction","draw up a schedule and work through it in planned stages",22,"F","Second year","DATA2002",20,"I don't currently work",0,"7.0",1899-12-31 01:00:00,10,200,80
"High Distinction","cram at the last second",20,"M","Third year","DATA2902",10,"Contractor",5,"6.5",1899-12-31,6,100,75
"Credit","do them immediately",20,"M","Third year","DATA2002",20,"I don't currently work",0,"7.0",NA,5,20,65
"Distinction","do them immediately",19,"M","Second year","DATA2902",10,"Part time",3,"6-7",1899-12-31 12:30:00,3,40,80
"High Distinction","draw up a schedule and work through it in planned stages",20,"M","Second year","DATA2002",35,"Casual",15,"9.0",1899-12-31 10:15:00,3,40,83.2
"High Distinction","draw up a schedule and work through it in planned stages",19,"F","Second year","DATA2902",10,"I don't currently work",0,"8 hours",1899-12-31 20:30:00,3,30,89.5
